id,valid,attacker,victim,note
4061,tp,туркмен,башкир,dormitory brawl
2132,border,,росіянин,migrant playground
1686,tp,інгуш,,knife dorm bgmu
2972,tp,"таджик,циган","циган,таджик",mass brawl
1395,tp,,росіянин,migrant teens
6648,tp,циган,,roma beat man uta
6054,border,,,nefte
5237,tp,,росіянин,migrants kidnap teen
5056,border,,,intra-foreigner
5372,tp,вірменин,,armenian gang knife
5292,tp,таджик,росіянин,tajiks attack teens
4143,tp,азербайджанець,росіянин,svo veteran extortion
6649,tp,циган,,dup 6648
3651,border,,,migrant police
3027,tp,таджик,циган,inter-migrant brawl
7133,tp,інгуш,,knife dorm bgmu dup
4651,border,,росіянин,migrant attack
4266,tp,росіянин,,attack foreigners xenophobia
1755,border,,,migrant child
4927,border,,,knife
4130,tp,,росіянин,jaw russian student
4026,border,,,club guards
5791,border,,,foreigner threats
6655,tp,,росіянин,migrant teen dup
3941,tp,"інгуш,узбек","інгуш,узбек",market brawl
7050,tp,вірменин,росіянин,armenian kills russian
6177,border,,,knife brawl
6977,tp,,росіянин,abdo beats russian
6654,tp,,росіянин,migrant teen dup
5732,tp,кавказець,росіянин,caucasian gang
2609,tp,росіянин,,russian attacks foreign students
2136,tp,башкир,росіянин,svo vet extortion
3232,tp,"інгуш,узбек","інгуш,узбек",market sentence
6651,tp,циган,,dup
3399,tp,,росіянин,migrant teens
6619,border,,росіянин,migrant playground dup
3723,border,,,foreigners arrest
2602,tp,вірменин,росіянин,galustyan sentence dup
5451,tp,таджик,росіянин,tajiks playground
4209,border,,,migrants club guards
6653,tp,,росіянин,migrant teen dup
4051,tp,азербайджанець,,pyaterochka ozg
2947,border,таджик,,domestic
5743,tp,росіянин,,humiliation religion
3471,tp,кавказець,росіянин,inter-ethnic brawl
1825,tp,інгуш,,knife dorm dup
6039,tp,росіянин,,verbal threats
2406,tp,вірменин,росіянин,galustyan kills russian
1339,tp,"таджик,татарин",росіянин,verbal svo
7126,tp,інгуш,,knife dorm dup
2953,tp,башкир,росіянин,flag burning
4428,tp,росіянин,таджик,verbal tajik
3827,tp,росіянин,башкир,arsenal russian community
5471,tp,,росіянин,ethnic gang teens
2548,tp,,кавказець,beaten refuse war
2627,tp,,росіянин,cafe brawl
4900,tp,кавказець,,pushkin cards
3443,tp,,башкир,attack bashkir historian
6005,tp,росіянин,башкир,baymak protest
3020,tp,"башкир,росіянин","башкир,росіянин",nationalists flag
1606,tp,інгуш,,kidnap businessman
3850,tp,"таджик,узбек",,migrants club
6656,tp,,росіянин,migrant teen dup
4199,tp,,,non-slav teens kastet
3722,border,,,migrants arrest
4342,tp,кавказець,росіянин,gang svo veteran
3962,tp,інгуш,росіянин,kills russian
6219,tp,,,migrant child labor
1377,tp,росіянин,татарин,verbal tatar
3011,tp,азербайджанець,росіянин,gun head
5706,tp,"башкир,росіянин","башкир,татарин",tram brawl
5607,tp,росіянин,,russian community knife muslim
2985,border,,росіянин,school brawl
3889,tp,інгуш,узбек,market sentence dup
2833,drop,,,rhetoric armenian
2805,border,,,migrant knife
