id,valid,attacker,victim,note
2077,tp,дагестанець,дагестанець,intra
7075,tp,дагестанець,,extortion
5357,tp,кавказець,,thugs attack driver
1790,tp,дагестанець,єврей,antisemitic pogrom 2023
1086,tp,дагестанець,узбек,knife
4707,tp,дагестанець,росіянин,tourist over clothing
5684,tp,дагестанець,росіянин,tourist smoking
2897,tp,дагестанець,росіянин,religious threat
2636,tp,дагестанець,дагестанець,intra teen
2347,border,,,quran teacher
2270,border,,,school
2384,drop,,,family kills father-in-law
6992,tp,дагестанець,росіянин,stavropol debt
5703,tp,дагестанець,росіянин,custody abduct
2099,border,,,brawl no detail
1257,border,дагестанець,,extortion intra
1247,tp,дагестанець,дагестанець,rape over refusal
2787,tp,дагестанець,,brothers hijab defend
6961,border,,,taravih
6968,border,,,brawl dup
2212,border,дагестанець,,gaптcaх
6481,border,дагестанець,,akushinsk
1574,border,,,derbent
1862,tp,дагестанець,росіянин,police arrest russian officer
2845,border,,,religious slur
4033,border,,,kizlyar
2100,border,,,kids
1486,tp,кавказець,росіянин,minibus
5463,border,дагестанець,,wildberries
6509,tp,дагестанець,росіянин,xenophobia outsiders
1575,tp,дагестанець,таджик,relatives beat tajik
4429,border,,,fishing
3034,tp,азербайджанець,дагестанець,colleague stabbing
2652,tp,азербайджанець,росіянин,family persecution
1540,tp,росіянин,кавказець,verbal feldsher
5003,tp,дагестанець,дагестанець,intra knife
7026,tp,дагестанець,,intra teen group
1084,tp,дагестанець,,doctor knife
5660,border,,,derbent
1912,border,,,religious athlete
5021,border,,,beach
2786,border,,,intra women
2153,border,,,gortsy
2117,border,,,brawl
5484,border,,,khasavurt
6173,tp,дагестанець,росіянин,slavery
7028,tp,дагестанець,чеченець,inter caucasus
5181,border,,,kaspiysk
5941,border,,,land dispute
1848,drop,,,1999-2000 cold case
2873,border,,,intra conscript
2859,tp,дагестанець,вірменин,verbal armenian
4407,tp,дагестанець,,terror sons
1892,border,даргинець,,threat
4878,tp,дагестанець,,intra hijab gunfire
1072,tp,дагестанець,дагестанець,sharia patrol
6554,tp,дагестанець,росіянин,xenophobia hairstyle
2811,drop,,,closed case sentence
1849,border,,,kidnap no detail
5843,border,,,broken jaw intra
7027,tp,дагестанець,чеченець,inter caucasus dup
5731,border,,,women carried out
5182,border,,,khasavurt
5799,tp,росіянин,таджик,islamophobia knife
5422,border,,,migrant brawl
2400,border,мігрант,,tc women migrants
6752,border,,,teen migrant
6937,border,мігрант,,car crash
4434,tp,дагестанець,дагестанець,intra UFC playstation
6991,border,,,kids dup
2082,border,,,kizlyar
2742,border,дагестанець,дагестанець,intra wedding
6993,border,,,kids dup
6240,border,дагестанець,,threats
6553,tp,дагестанець,росіянин,xenophobia look
5026,border,,,beach dup
1563,border,,,khushet dup
6757,tp,дагестанець,росіянин,svo threats
2640,drop,,,kazakh admin
4923,tp,дагестанець,росіянин,tourist with baby
1891,border,дагестанець,дагестанець,wedding brawl
5214,tp,дагестанець,узбек,locals save uzbek
2213,border,,,gaптcaх dup
2812,drop,,,terror admin
4771,border,дагестанець,,extortion intra
6658,tp,дагестанець,єврей,airport pogrom mass
2699,drop,,,verbal admin
2321,tp,дагестанець,таджик,taxi tajik
3989,drop,,,accident
2764,border,,,pogrom sentence
2280,tp,інгуш,осетин,inter caucasus
4058,tp,дагестанець,єврей,airport pogrom dup
2750,border,,,terror religion
7045,tp,лакець,чеченець,inter caucasus
3956,drop,,,terror not interethnic
6115,tp,дагестанець,росіянин,verbal russian
1110,border,дагестанець,,migrant threats
6659,tp,дагестанець,єврей,antisemitism dup
1236,tp,дагестанець,узбек,knife dup 1086
2461,tp,лакець,чеченець,inter caucasus dup
6527,border,,,brawl dup
4379,tp,лезгин,росіянин,verbal lezgin
2441,tp,дагестанець,росіянин,teacher swines
2690,drop,,,verbal admin
3248,border,таджик,,migrant attack
