id,valid,attacker,victim,note
1109,tp,інгуш,,gaziurt brawl
5970,tp,інгуш,чеченець,beat chechen rehab
4774,border,,,chayka visit
1193,border,,,ekajevo
5376,tp,"інгуш,осетин","інгуш,осетин",chermen
2023,border,інгуш,інгуш,relatives knife
3201,tp,"дагестанець,інгуш,кавказець","дагестанець,інгуш,кавказець",cup caucasus
6841,drop,,,1918 cossacks ingush
4595,tp,узбек,росіянин,uzbek knife taxi
2661,tp,росіянин,бурят,police beat buryat
1865,border,,,oppression rhetoric
2784,tp,росіянин,бурят,police beat buryat dup
6122,tp,киргиз,росіянин,kyrgyz beats astm boy
2658,tp,якут,росіянин,churka verbal
1556,tp,якут,росіянин,truckers beaten
5134,border,якут,,zhatay students
6287,tp,"вірменин,інгуш",,construction shootout
4783,border,,,dns brawl
6108,border,,,elderly beat
5960,border,,евенк,svfu evenk death
1854,tp,киргиз,росіянин,kyrgyz beats boy dup
5984,border,,,taxi vs migrants
3139,tp,якут,таджик,yakuts beat tajik taxi
2711,border,,,verkhoyansk knife
1480,border,,,verbal admin
1717,border,,,daily yakutsk
4189,border,,,domestic
2264,drop,,,doctor syphilis
4706,tp,азербайджанець,росіянин,rufov threats
5897,border,якут,,zhatay dup
5159,border,,росіянин,migrant taxi student
4850,border,,,bottle worker
2659,tp,якут,росіянин,svfu chat nazi rhetoric
6198,border,,,extortion
1596,tp,якут,росіянин,truckers convoy dup
5530,border,,,police investigate
7053,tp,росіянин,,nationalist student
4334,tp,якут,таджик,verbal tajik admin
2785,border,,,intra knife
5692,border,,,recidivist bar
6886,tp,киргиз,росіянин,kyrgyz dup
1354,tp,таджик,росіянин,monkey wrench deputy
2729,tp,якут,вірменин,yakuts beat armenians
7052,tp,росіянин,,svfu chat dup
5073,border,,росіянин,migrant child
2272,drop,,,knife cohabitant
4788,border,,,brawl center
2305,tp,тувинець,узбек,masked beat uzbeks
5044,tp,росіянин,,ultraright nonslav
5437,tp,росіянин,,skinheads foreigners
5045,tp,росіянин,,ultraright elderly
6312,tp,росіянин,,ultraright african
2162,tp,"осетин,чеченець","осетин,чеченець",grozny wrestling brawl
1363,border,чеченець,,yunusov intra
6429,tp,чеченець,вірменин,chechens beat armenian
6205,tp,чеченець,росіянин,zhuravel quran
1446,border,чеченець,,akhmat intra
2766,tp,чеченець,осетин,wrestling beat ossetian
5641,tp,чеченець,росіянин,beat druzhynnyky
2632,border,,,intra-political torture
5736,tp,чеченець,росіянин,school costume threat
2706,border,,,fsb officers
3190,tp,чеченець,росіянин,burned car investigator
3185,tp,росіянин,дагестанець,strangle taxi driver
4742,tp,росіянин,чеченець,force apology
2445,tp,чеченець,росіянин,oysya song verbal
2259,tp,чеченець,осетин,wrestling
5539,border,,,kadyrov shamanov politics
4719,drop,,,family kills daughter
6029,drop,,,family kills lgbt
