id,valid,attacker,victim,note
2204,tp,,росіянин,migrant knife schoolgirl
3406,tp,,росіянин,migrant driver attacks
2055,tp,узбек,росіянин,school broken arms
2111,tp,,росіянин,migrant gang bus
5678,tp,таджик,росіянин,knife wife businessman
5893,tp,,азербайджанець,mistaken hammer attack
4914,tp,,росіянин,migrants attack locals
6683,border,,росіянин,migrant boyfriend
1902,tp,татарин,росіянин,tatar nationalist language
2921,tp,росіянин,кавказець,revenge attack
2221,tp,,росіянин,coma mechanic
1595,tp,,росіянин,migrant schoolgirl dup
6523,tp,,росіянин,migrants invalid
6888,tp,,росіянин,supermarket attack
6670,tp,,росіянин,schoolgirl dup
1844,tp,,росіянин,supermarket dup
6682,tp,,росіянин,migrant knife sales clerk
3719,border,,,migrant intra brawl
2021,border,,,taxi
3797,tp,узбек,росіянин,uzbek knife homeless
5761,tp,чеченець,,convoy attack
2874,border,,,knife rome migrant
3439,tp,татарин,росіянин,calls to kill russians
4381,border,,,intra-foreign students
4042,border,,,egyptian intra
6669,tp,росіянин,,raid migrant apt
4664,tp,азербайджанець,росіянин,azeri fraud
3141,tp,,росіянин,school slav teen
2443,border,,,imam scandal
5551,tp,,росіянин,foreigner knife belly
4312,border,узбек,,intra rape
4375,border,,,moroccan vs tunisian
4096,border,,,intra-migrant brawl
1996,border,,,mob beat two
1078,tp,росіянин,,raid migrant apt dup
2807,border,,,domofon
6280,border,,,artamonov dup
3433,tp,киргиз,таджик,kyrgyz knife tajik
3456,tp,,росіянин,migrant driver dup
1860,border,,,domestic stepdaughter
5914,tp,,росіянин,migrant entrance
5757,tp,росіянин,якут,school bullying
5875,border,,,wahhabi metro
3064,tp,бурят,,buryats robbery
5316,tp,туркмен,росіянин,turkmen attacks mechanic
6908,border,,,artamonov dup
6304,tp,росіянин,,russian community lessons
1731,border,,,airport brawl
6671,tp,,росіянин,schoolgirl dup
1320,tp,таджик,росіянин,migrants invalid dup
5769,tp,,росіянин,muslim kidnap girl
1345,tp,,росіянин,4 migrants rape
6684,tp,,росіянин,migrant attacks clerk
6685,tp,,росіянин,migrant terrorizes girl
4732,tp,таджик,єврей,tajik antisemitic posts
6236,border,,,mayor housing politics
4364,border,узбек,,intra uzbek rape
6959,tp,,росіянин,migrant beat woman
6522,tp,таджик,росіянин,migrants invalid dup
5627,tp,,росіянин,migrant knife dup
5083,tp,росіянин,,russian community fines
6263,tp,таджик,росіянин,tajik teen sexual
3364,border,,,foreigners beat
6156,border,,,foreigner cop
4011,tp,,росіянин,taxi rape
5753,border,,,tractor accident
4027,tp,росіянин,росіянин,intra-nationalist groups
2673,tp,росіянин,осетин,footballer punch
2242,tp,,росіянин,migrant woman daughter dup
5251,tp,,росіянин,migrants svo invalid
2958,tp,"вірменин,дагестанець",росіянин,armenian daghestani beat
